id,content,type,category
1493,What's interesting about innovation?,question,general
1494,What's your favorite curiosity?,question,preferences
1495,What's your favorite documentary?,question,preferences
1496,How has yoga influenced you?,question,general
1497,What's your favorite concerts?,question,preferences
1498,What's your favorite communities?,question,preferences
1499,How would you describe traditions?,question,hypothetical
1500,How would you describe memories?,question,hypothetical
1501,What's your take on innovation?,question,general
1502,What's surprising about museums?,question,general
1503,Do you like to visit museums when you travel?,question,preferences
1504,What's your goal with books?,question,entertainment
1505,How important is dreams to you?,question,general
1506,How has honesty influenced you?,question,general
1507,What's your take on libraries?,question,general
1508,What's surprising about communities?,question,general
1509,What's rewarding about growth?,question,general
1510,I'm trying to reduce my screen time,statement,general_statement
1511,What's challenging about meditation?,question,general
1512,I overcame a fear today,statement,daily_experience
1513,How important is creativity to you?,question,food
1514,What's your favorite way to learn?,question,preferences
1515,What's rewarding about dancing?,question,general
1516,What's your relationship with innovation?,question,relationships
1517,What's rewarding about patience?,question,general
1518,How has friendship influenced you?,question,relationships
1519,Tell me about travel,statement,general_statement
1520,How do you feel about risk?,question,opinions
1521,How do you stay motivated with singing?,question,general
1522,What's your go-to stress reliever?,question,general
1523,What's your experience with independence?,question,general
1524,Do you think people are generally good?,question,opinions
1525,What's your take on parks?,question,general
1526,What's your go-to comfort food when sick?,question,food
1527,How important is solitude to you?,question,general
1528,How has innovation influenced you?,question,general
1529,What role does change play in your life?,question,general
1530,How do you share singing with others?,question,general
1531,How has volunteering influenced you?,question,general
1532,What role does reading play in your life?,question,general
1533,Tell me about mountains,statement,general_statement
1534,How has puzzles influenced you?,question,general
1535,What's interesting about cities?,question,general
1536,What do you think about meditation?,question,opinions
1537,What's your favorite drawing?,question,preferences
1538,What's your favorite companionship?,question,preferences
1539,What's your approach to goal setting?,question,general
1540,What advice would you give about books?,question,hypothetical
1541,What's your experience with goals?,question,general
1542,What's your relationship with traditions?,question,relationships
1543,What's your favorite wisdom?,question,preferences
1544,What's interesting about comfort?,question,general
1545,How important is loyalty to you?,question,general
1546,What's your experience with cycling?,question,general
1547,What's interesting about parks?,question,general
1548,What's challenging about cooking?,question,food
1549,I realized something important about myself,statement,thoughts_reflection
1550,How do you organize your living space?,question,general
1551,How do you stay motivated with balance?,question,general
1552,What's your favorite thing about your personality?,question,preferences
1553,What advice would you give about gardening?,question,hypothetical
1554,How would you describe courage?,question,hypothetical
1555,What's surprising about wonder?,question,general
1556,How do you share family with others?,question,relationships
1557,How do you stay motivated with museums?,question,general
1558,Do you enjoy photography?,question,general
1559,I've been thinking about kindness,statement,thoughts_reflection
1560,How do you share curiosity with others?,question,general
1561,What's your take on creativity?,question,food
1562,What's your go-to method for staying organized?,question,general
1563,What's your experience with cooking?,question,food
1564,How do you share pets with others?,question,general
1565,What's surprising about comfort?,question,general
1566,I went for a long walk today,statement,daily_experience
1567,Did you enjoy playing outside as a child?,question,general
1568,What's rewarding about sports?,question,general
1569,What's your goal with travel?,question,travel
1570,How important is games to you?,question,general
1571,What's the best compliment you've ever received?,question,general
1572,Are you interested in history?,question,general
1573,How important is beaches to you?,question,general
1574,What's your experience with swimming?,question,general
1575,What's surprising about games?,question,general
1576,What's your take on beaches?,question,general
1577,How do you stay motivated with success?,question,general
1578,I hope to find my passion,statement,future_plans
1579,What's your relationship with cities?,question,relationships
1580,Did you have a favorite bedtime story?,question,preferences
1581,What's rewarding about travel?,question,travel
1582,What's interesting about peace?,question,general
1583,What's challenging about running?,question,general
1584,I've been thinking about changing careers,statement,thoughts_reflection
1585,How would you describe pets?,question,hypothetical
1586,What's your favorite type of weather?,question,preferences
1587,What's your favorite balance?,question,preferences
1588,I met someone really interesting yesterday,statement,daily_experience
1589,Do you like to bake?,question,preferences
1590,How's your day going?,question,daily_life
1591,What advice would you give about communities?,question,hypothetical
1592,What's surprising about singing?,question,general
1593,Tell me about meditation,statement,general_statement
1594,What do you think about beaches?,question,opinions
1595,How has family influenced you?,question,relationships
1596,I'm feeling very motivated,statement,emotional_expression
1597,What's challenging about adventure?,question,general
1598,How would you describe games?,question,hypothetical
1599,What's rewarding about balance?,question,general
1600,What's interesting about pets?,question,general
1601,What's your favorite chess?,question,preferences
1602,What's your relationship with drawing?,question,relationships
1603,Do you like to write?,question,preferences
1604,What's your ideal day off?,question,daily_life
1605,What's rewarding about hiking?,question,general
1606,What's your experience with wonder?,question,general
1607,How do you approach goals?,question,general
1608,How important is spontaneity to you?,question,general
1609,How do you stay motivated with adventure?,question,general
1610,What role does drawing play in your life?,question,general
1611,What was your favorite cartoon?,question,preferences
1612,What's your take on concerts?,question,general
1613,What's rewarding about museums?,question,general
1614,I prefer quality over quantity,statement,personal_preferences
1615,Do you enjoy spicy food?,question,food
1616,What's your relationship with family?,question,relationships
1617,What's your experience with books?,question,entertainment
1618,Tell me about learning,statement,general_statement
1619,What's your experience with meditation?,question,general
1620,What's your goal with risk?,question,general
1621,What's interesting about chess?,question,general
1622,How would you describe crafts?,question,hypothetical
1623,How would you describe photography?,question,hypothetical
1624,What does happiness mean to you?,question,general
1625,What's challenging about balance?,question,general
1626,How do you approach challenges?,question,general
1627,What's your favorite podcast?,question,preferences
1628,How do you approach discovery?,question,general
1629,What's your take on museums?,question,general
1630,What's your experience with podcasts?,question,general
1631,"If you had to eat one food for the rest of your life, what would it be?",question,food
1632,How do you feel about hiking?,question,opinions
1633,How has peace influenced you?,question,general
1634,How would you describe loyalty?,question,hypothetical
1635,What's challenging about parks?,question,general
1636,What's your goal with wisdom?,question,general
1637,Do you prefer to multitask or focus on one thing?,question,preferences
1638,How do you share festivals with others?,question,general
1639,What's your goal with hiking?,question,general
1640,Tell me about wisdom,statement,general_statement
1641,What do you think about games?,question,opinions
1642,Tell me about risk,statement,general_statement
1643,How do you stay motivated with dancing?,question,general
1644,What's your goal with change?,question,general
1645,How important is wonder to you?,question,general
1646,What role does podcasts play in your life?,question,general
1647,What advice would you give about swimming?,question,hypothetical
1648,How do you stay connected with friends and family?,question,relationships
1649,What advice would you give about curiosity?,question,hypothetical
1650,What's your relationship with running?,question,relationships
1651,What's your favorite puzzles?,question,preferences
1652,Tell me about chess,statement,general_statement
1653,How has adventure influenced you?,question,general
1654,How would you describe wisdom?,question,hypothetical
1655,What's surprising about hiking?,question,general
1656,What role does spontaneity play in your life?,question,general
1657,How has podcasts influenced you?,question,general
1658,What's challenging about volunteering?,question,general
1659,What makes a good friend?,question,relationships
1660,What role does exercise play in your life?,question,general
1661,What's challenging about cities?,question,general
1662,What's your favorite museums?,question,preferences
1663,What's interesting about discovery?,question,general
1664,I'm contemplating the importance of work-life balance,statement,thoughts_reflection
1665,What's your favorite adventure?,question,preferences
1666,Do you prefer home-cooked meals or eating out?,question,preferences
1667,How was your weekend?,question,general
1668,What's the last movie you watched?,question,entertainment
1669,Do you like reality TV shows?,question,preferences
1670,How would you describe drawing?,question,hypothetical
1671,I find cooking very therapeutic,statement,general_statement
1672,What's your take on peace?,question,general
1673,What advice would you give about companionship?,question,hypothetical
1674,Tell me about spontaneity,statement,general_statement
1675,How important is adventure to you?,question,general
1676,What's your goal with companionship?,question,general
1677,What's your take on writing?,question,general
1678,What's surprising about wisdom?,question,general
1679,How do you share photography with others?,question,general
1680,What's rewarding about drawing?,question,general
1681,How do you stay motivated with dreams?,question,general
1682,Are you into gardening?,question,general
1683,What's the best food you've tried while traveling?,question,food
1684,What's challenging about exercise?,question,general
1685,Have you ever been camping?,question,general
1686,What's interesting about growth?,question,general
1687,"If you could have dinner with anyone, who would it be?",question,hypothetical
1688,How has happiness influenced you?,question,general
1689,What's your superpower in friendships?,question,relationships
1690,What role does technology play in your life?,question,general
1691,How do you approach solitude?,question,general
1692,How do you stay motivated with risk?,question,general
1693,How do you feel about comfort?,question,opinions
1694,What's rewarding about challenges?,question,general
1695,Tell me about traditions,statement,general_statement
1696,What's rewarding about hobbies?,question,general
1697,How would you describe change?,question,hypothetical
1698,What's challenging about success?,question,general
1699,What's interesting about courage?,question,general
1700,What's your favorite honesty?,question,preferences
1701,What's challenging about singing?,question,general
1702,"If you won the lottery, what would you do first?",question,hypothetical
1703,How has risk influenced you?,question,general
1704,Tell me about dreams,statement,general_statement
1705,What's interesting about curiosity?,question,general
1706,What's challenging about comfort?,question,general
1707,What advice would you give about loyalty?,question,hypothetical
1708,How important is learning to you?,question,general
1709,What's your take on yoga?,question,general
1710,What's your take on hobbies?,question,general
1711,Tell me about puzzles,statement,general_statement
1712,What role does writing play in your life?,question,general
1713,How do you feel about games?,question,opinions
1714,I've been working from home more often,statement,general_statement
1715,What's surprising about hobbies?,question,general
1716,What's your experience with parks?,question,general
1717,What advice would you give about wisdom?,question,hypothetical
1718,I attended my friend's wedding,statement,experiences
1719,What's surprising about change?,question,general
1720,How has writing influenced you?,question,general
1721,Tell me about curiosity,statement,general_statement
1722,What's challenging about family?,question,relationships
1723,Tell me about courage,statement,general_statement
1724,How would you describe comfort?,question,hypothetical
1725,What's surprising about honesty?,question,general
1726,What's your backup plan?,question,general
1727,How do you feel about learning?,question,opinions
1728,I had the worst customer service experience today,statement,daily_experience
1729,How has movies influenced you?,question,entertainment
1730,What role does balance play in your life?,question,general
1731,How do you celebrate achievements?,question,general
1732,How has cards influenced you?,question,general
1733,I'm thinking about taking a break from social media,statement,thoughts_reflection
1734,I started taking a new class,statement,experiences
1735,What's interesting about dancing?,question,general
1736,What's surprising about routine?,question,daily_life
1737,Tell me about reading,statement,general_statement
1738,I'm hoping to travel more next year,statement,future_plans
1739,How do you feel about beaches?,question,opinions
1740,How do you stay motivated with friendship?,question,relationships
1741,What's rewarding about kindness?,question,general
1742,What role does nature play in your life?,question,general
1743,What's surprising about loyalty?,question,general
1744,What's your relationship with happiness?,question,relationships
1745,What's your biggest pet peeve?,question,general
1746,How do you feel about peace?,question,opinions
1747,What's interesting about games?,question,general
1748,Where would you love to travel next?,question,preferences
1749,What's your goal with dreams?,question,general
1750,Tell me about technology,statement,general_statement
1751,I prefer experiences over material things,statement,personal_preferences
1752,How would you describe meditation?,question,hypothetical
1753,How do you share wonder with others?,question,general
1754,How has crafts influenced you?,question,general
1755,How would you describe curiosity?,question,hypothetical
1756,How do you approach yoga?,question,general
1757,How do you stay hopeful during difficult times?,question,general
1758,What's your experience with hiking?,question,general
1759,What's your favorite growth?,question,preferences
1760,How do you share challenges with others?,question,general
1761,How important is reading to you?,question,general
1762,What role does hiking play in your life?,question,general
1763,What role does concerts play in your life?,question,general
1764,How do you feel about podcasts?,question,opinions
1765,What's challenging about dreams?,question,general
1766,How do you feel about innovation?,question,opinions
1767,What's your biggest accomplishment?,question,general
1768,How has reading influenced you?,question,general
1769,What do you think about friendship?,question,opinions
1770,What's your take on pets?,question,general
1771,Are you a morning person or a night owl?,question,daily_life
1772,What's your take on volunteering?,question,general
1773,What's rewarding about cycling?,question,general
1774,Do you like spicy food?,question,preferences
1775,Do you enjoy musicals?,question,entertainment
1776,What's your relationship with books?,question,entertainment
1777,I volunteered at a local charity,statement,general_statement
1778,How has parks influenced you?,question,general
1779,What's your experience with movies?,question,entertainment
1780,How do you share creativity with others?,question,food
1781,How do you share concerts with others?,question,general
1782,How do you feel about change?,question,opinions
1783,What advice would you give about routine?,question,hypothetical
1784,What's rewarding about nature?,question,general
1785,How important is drawing to you?,question,general
1786,How do you stay motivated with wonder?,question,general
1787,What's rewarding about risk?,question,general
1788,Traffic was terrible this morning,statement,daily_experience
1789,How do you approach success?,question,general
1790,What's rewarding about podcasts?,question,general
1791,What's your favorite way to stay connected with friends?,question,preferences
1792,What's interesting about challenges?,question,general
1793,What's your hidden talent?,question,general
1794,How do you share beaches with others?,question,general
1795,What advice would you give about independence?,question,hypothetical
1796,How important is happiness to you?,question,general
1797,What do you think about cycling?,question,opinions
1798,What's your favorite hobbies?,question,preferences
1799,What's your take on art?,question,general
1800,What's your experience with comfort?,question,general
1801,How do you feel about goals?,question,opinions
1802,What's surprising about podcasts?,question,general
1803,What do you think about reading?,question,opinions
1804,Tell me about games,statement,general_statement
1805,What's your favorite emoji?,question,preferences
1806,How do you share wisdom with others?,question,general
1807,How would you describe cycling?,question,hypothetical
1808,What's surprising about cities?,question,general
1809,What role does cards play in your life?,question,general
1810,How do you share art with others?,question,general
1811,What role does routine play in your life?,question,daily_life
1812,Did you collect anything as a child?,question,general
1813,How would you describe festivals?,question,hypothetical
1814,How would you describe cities?,question,hypothetical
1815,I'm considering learning a new language,statement,thoughts_reflection
1816,Do you believe in karma?,question,opinions
1817,How do you feel about yoga?,question,opinions
1818,What do you think about movies?,question,opinions
1819,What's interesting about beaches?,question,general
1820,How do you share technology with others?,question,general
1821,How do you feel about books?,question,opinions
1822,How would you describe museums?,question,hypothetical
1823,Are you a dog person or a cat person?,question,general
1824,How do you approach swimming?,question,general
1825,What's your relationship with dancing?,question,relationships
1826,What's your opinion on remote work?,question,opinions
1827,How important is honesty to you?,question,general
1828,How do you feel about dancing?,question,opinions
1829,What do you think about routine?,question,opinions
1830,How do you stay motivated with movies?,question,entertainment
1831,What advice would you give about dancing?,question,hypothetical
1832,How do you approach cooking?,question,food
1833,What role does creativity play in your life?,question,food
1834,What's your goal with writing?,question,general
1835,I watched a documentary that changed my perspective,statement,general_statement
1836,How do you stay motivated with companionship?,question,general
1837,What's your love language?,question,preferences
1838,What's your take on spontaneity?,question,general
1839,Tell me about communities,statement,general_statement
1840,I'm exhausted,statement,general_statement
1841,How do you feel about companionship?,question,opinions
1842,What's challenging about music?,question,entertainment
1843,What's your favorite dreams?,question,preferences
1844,How do you feel about spontaneity?,question,opinions
1845,What's your relationship with patience?,question,relationships
1846,How would you describe growth?,question,hypothetical
1847,How do you share yoga with others?,question,general
1848,What's your biggest relationship deal-breaker?,question,relationships
1849,What do you think about puzzles?,question,opinions
1850,I want to become more involved in my community,statement,future_plans
1851,How do you feel about wonder?,question,opinions
1852,What's your relationship with spontaneity?,question,relationships
1853,How would you describe reading?,question,hypothetical
1854,What's interesting about dreams?,question,general
1855,How do you approach comfort?,question,general
1856,What do you think about festivals?,question,opinions
1857,What's your approach to trying new things?,question,general
1858,How important is innovation to you?,question,general
1859,How has independence influenced you?,question,general
1860,How do you feel about photography?,question,opinions
1861,What's the scariest movie you've ever seen?,question,entertainment
1862,What's your favorite volunteering?,question,preferences
1863,Tell me about adventure,statement,general_statement
1864,What's rewarding about work?,question,career
1865,What do you think about music?,question,opinions
1866,What role does honesty play in your life?,question,general
1867,What's the most important quality in a relationship?,question,relationships
1868,Tell me about nature,statement,general_statement
1869,How do you feel about loyalty?,question,opinions
1870,How do you approach nature?,question,general
1871,What's interesting about drawing?,question,general
1872,How important is communities to you?,question,general
1873,What's your relationship with goals?,question,relationships
1874,What was your favorite subject in school?,question,preferences
1875,Do you make your bed every morning?,question,daily_life
1876,Do you think people should follow their dreams?,question,opinions
1877,What's your relationship with reading?,question,relationships
1878,How do you share risk with others?,question,general
1879,How do you feel about solitude?,question,opinions
1880,Do you like to plan trips in detail or be spontaneous?,question,preferences
1881,What advice would you give about goals?,question,hypothetical
1882,What's your experience with courage?,question,general
1883,How do you feel about cities?,question,opinions
1884,What's surprising about cooking?,question,food
1885,What's rewarding about family?,question,relationships
1886,What's challenging about solitude?,question,general
1887,How do you stay motivated with independence?,question,general
1888,I'm a bit disappointed,statement,emotional_expression
1889,What's your experience with discovery?,question,general
1890,What's your favorite technology?,question,preferences
1891,What's the strangest food you've ever tried?,question,food
1892,How would you describe peace?,question,hypothetical
1893,I helped a neighbor today,statement,daily_experience
1894,What's your goal with happiness?,question,general
1895,What's challenging about challenges?,question,general
1896,Do you prefer watching alone or with others?,question,preferences
1897,"If you could have been born in any country, which would you choose?",question,hypothetical
1898,What's your favorite way to exercise?,question,preferences
1899,What's your relationship with volunteering?,question,relationships
1900,Tell me about drawing,statement,general_statement
1901,What's surprising about sports?,question,general
1902,How has curiosity influenced you?,question,general
1903,What's your approach to making big decisions?,question,general
1904,What's your goal with puzzles?,question,general
1905,How do you share friendship with others?,question,relationships
1906,I'm feeling a bit overwhelmed lately,statement,emotional_expression
1907,How do you feel about music?,question,opinions
1908,I love helping others,statement,personal_preferences
1909,What's your experience with libraries?,question,general
1910,Do you collect anything?,question,general
1911,What's your favorite family?,question,preferences
1912,What's your experience with curiosity?,question,general
1913,How important is sports to you?,question,general
1914,What's rewarding about happiness?,question,general
1915,What do you think about courage?,question,opinions
1916,How important is swimming to you?,question,general
1917,Tell me about growth,statement,general_statement
1918,What's your ideal vacation length?,question,travel
1919,What's challenging about hiking?,question,general
1920,Tell me about pets,statement,general_statement
1921,How would you describe exercise?,question,hypothetical
